Y,M,D,SR_MJ
2003,6,6,23.03275682
2003,6,7,23.4216136
2003,6,8,22.78049928
2003,6,9,23.59945034
2003,6,10,23.09364658
2003,6,11,23.97123221
2003,6,12,22.30530148
2003,6,13,19.62035337
2003,6,14,23.0340455
2003,6,15,19.98182586
2003,6,16,23.61716958
2003,6,17,23.61427006
2003,6,18,17.39642766
2003,6,19,13.26848908
2003,6,20,17.07651484
2003,6,21,22.14905
2003,6,22,23.21993643
2003,6,23,21.34588518
2003,6,24,19.9995451
2003,6,25,21.585256
2003,6,26,23.74958062
2003,6,27,23.880703
2003,6,28,23.63746616
2003,6,29,23.32335236
2003,6,30,23.69610074
2003,7,1,23.42837913
2003,7,2,23.42096926
2003,7,3,23.87458181
2003,7,4,23.45801858
2003,7,5,23.64390952
2003,7,6,23.49539007
2003,7,7,23.23507833
2003,7,8,23.316909
2003,7,9,23.82239059
2003,7,10,23.52502953
2003,7,11,23.45801858
2003,7,12,23.27212765
2003,7,13,22.92998523
2003,7,14,23.1084663
2003,7,15,22.30530148
2003,7,16,22.65485376
2003,7,17,19.30044054
2003,7,18,21.15999424
2003,7,19,21.71025718
2003,7,20,21.88132839
2003,7,21,22.14905
2003,7,22,21.81431745
2003,7,23,20.28981847
2003,7,24,11.51943901
2003,7,25,15.26335334
2003,7,26,11.35706634
2003,7,27,20.74343102
2003,7,28,21.91837771
2003,7,29,21.9728241
2003,7,30,21.70059214
2003,7,31,22.49054808
2003,8,1,20.81076413
2003,8,2,8.62926988
2003,8,3,13.44439281
2003,8,4,21.82076081
2003,8,5,20.02499638
2003,8,6,21.00019891
2003,8,7,21.46186566
2003,8,8,20.07493242
2003,8,9,21.64711226
2003,8,10,21.86135398
2003,8,11,21.8027194
2003,8,12,18.65159419
2003,8,13,18.54850043
2003,8,14,18.58490542
2003,8,15,14.21147482
2003,8,16,20.86875437
2003,8,17,20.10457187
2003,8,18,19.65289234
2003,8,19,18.9183493
2003,8,20,19.6603022
2003,8,21,7.799042944
2003,8,22,10.06291748
2003,8,23,19.27853312
2003,8,24,19.53433451
2003,8,25,19.40031262
2003,8,26,8.933074304
2003,8,27,18.73761305
2003,8,28,16.81652526
2003,8,29,12.37286204
2003,8,30,18.60777934
2003,8,31,18.05816074
2003,9,1,14.48563978
2003,9,2,17.78399577
2003,9,3,17.09520058
2003,9,4,14.71566774
2003,9,5,13.36578382
2003,9,6,15.85743113
2003,9,7,12.1135168
